Time,Is_alive,Min_time,Max_time,Avg_time,Std_dev,pct_loss
2024-11-10 03:10:39.834409,True,15.176,31.303,22.047,7.266,0.0
2024-11-10 03:15:51.990702,True,15.637,31.348,24.295,7.093,0.0
2024-11-10 03:21:04.127508,True,5.835,31.039,21.839,9.692,0.0
2024-11-10 03:26:16.298623,True,15.895,31.406,26.857,5.947,0.0
2024-11-10 03:31:28.460654,True,15.46,30.411,23.395,6.614,0.0
2024-11-10 03:36:40.636083,True,15.964,30.595,23.37,6.479,0.0
2024-11-10 03:41:52.804641,True,15.79,30.376,23.739,6.587,0.0
2024-11-10 03:47:05.001963,True,15.596,31.27,26.113,6.176,0.0
2024-11-10 03:52:17.166519,True,15.495,31.424,21.596,7.099,0.0
2024-11-10 03:57:29.339344,True,15.148,30.957,23.463,6.77,0.0
2024-11-10 04:02:41.502291,True,15.26,30.549,23.577,6.83,0.0
2024-11-10 04:07:53.610088,True,5.486,29.255,14.242,8.73,0.0
2024-11-10 04:13:05.762297,True,15.18,30.289,21.216,6.761,0.0
2024-11-10 04:18:17.911723,True,15.986,31.496,24.071,6.803,0.0
2024-11-10 04:23:30.049672,True,5.548,31.172,20.379,12.065,0.0
2024-11-10 04:28:42.204975,True,5.543,30.716,18.695,8.815,0.0
2024-11-10 04:33:54.364153,True,15.545,31.005,24.511,7.135,0.0
2024-11-10 04:39:06.523508,True,15.214,31.358,23.664,6.899,0.0
2024-11-10 04:44:18.648322,True,5.545,30.782,14.79,9.095,0.0
2024-11-10 04:49:30.817109,True,15.914,30.56,23.704,6.58,0.0
2024-11-10 04:54:42.962263,True,15.236,30.427,21.497,6.997,0.0
2024-11-10 04:59:55.147485,True,28.282,31.55,30.38,1.118,0.0
2024-11-10 05:05:07.343440,True,15.85,31.281,27.257,5.854,0.0
2024-11-10 05:10:19.469324,True,15.911,29.632,18.697,5.468,0.0
2024-11-10 05:15:31.649910,True,16.022,31.263,25.464,6.739,0.0
2024-11-10 05:20:43.801816,True,15.212,30.672,24.272,7.208,0.0
2024-11-10 05:25:55.968347,True,15.606,30.278,21.33,6.869,0.0
2024-11-10 05:31:08.111049,True,5.652,30.578,19.219,9.339,0.0
2024-11-10 05:36:20.273873,True,16.003,30.622,26.546,5.676,0.0
2024-11-10 05:41:32.446113,True,16.027,31.794,27.128,5.942,0.0
2024-11-10 05:46:44.576057,True,15.94,29.666,18.701,5.483,0.0
2024-11-10 05:51:56.697801,True,15.954,29.635,18.708,5.463,0.0
2024-11-10 05:57:08.836144,True,15.936,29.988,21.446,6.72,0.0
2024-11-10 06:02:21.017896,True,16.003,31.432,23.849,6.787,0.0
2024-11-10 06:07:33.208635,True,16.128,30.92,27.425,5.718,0.0
2024-11-10 06:12:45.365302,True,15.585,30.934,23.742,6.692,0.0
2024-11-10 06:17:57.455878,True,5.398,30.426,10.494,9.966,0.0
2024-11-10 06:23:09.613290,True,15.199,31.218,21.21,7.078,0.0
2024-11-10 06:28:21.768208,True,15.402,31.152,23.949,6.883,0.0
2024-11-10 06:33:33.959408,True,25.651,31.086,29.642,2.011,0.0
2024-11-10 06:38:46.148481,True,24.96,31.021,29.691,2.372,0.0
2024-11-10 06:43:58.315729,True,15.964,30.716,26.604,5.733,0.0
2024-11-10 06:49:10.502165,True,24.9,31.482,29.765,2.449,0.0
2024-11-10 06:54:22.649659,True,15.852,31.39,23.837,6.765,0.0
2024-11-10 06:59:34.829222,True,15.16,30.646,26.453,5.948,0.0
2024-11-10 07:04:47.007446,True,16.165,31.172,27.273,5.672,0.0
2024-11-10 07:09:59.172706,True,5.631,30.289,24.481,9.568,0.0
2024-11-10 07:15:11.368942,True,25.776,30.723,29.658,1.943,0.0
2024-11-10 07:20:23.577212,True,25.589,30.735,29.525,1.977,0.0
2024-11-10 07:25:35.775661,True,26.329,30.733,29.678,1.679,0.0
2024-11-10 07:30:47.959722,True,26.219,31.337,30.003,1.903,0.0
2024-11-10 07:36:00.154404,True,25.477,30.925,29.614,2.078,0.0
2024-11-10 07:41:12.353366,True,25.554,31.01,29.556,2.017,0.0
2024-11-10 07:46:24.535451,True,15.446,30.637,23.615,6.756,0.0
2024-11-10 07:51:36.724678,True,26.217,31.008,29.678,1.75,0.0
2024-11-10 07:56:48.866031,True,15.218,30.225,21.304,7.002,0.0
2024-11-10 08:02:01.051354,True,25.35,31.258,29.815,2.25,0.0
2024-11-10 08:07:13.219070,True,25.221,30.631,29.508,2.144,0.0
2024-11-10 08:12:25.404440,True,25.201,31.069,29.528,2.189,0.0
2024-11-10 08:17:37.581216,True,25.91,31.728,29.91,2.047,0.0
2024-11-10 08:22:49.728085,True,15.179,30.79,24.251,7.142,0.0
2024-11-10 08:28:01.899952,True,15.96,31.234,26.885,5.878,0.0
2024-11-10 08:33:14.078126,True,15.192,31.277,26.569,6.122,0.0
2024-11-10 08:38:26.238062,True,15.535,30.976,23.696,6.798,0.0
2024-11-10 08:43:38.417023,True,26.05,30.649,29.546,1.753,0.0
2024-11-10 08:48:50.591287,True,15.952,30.918,26.67,5.735,0.0
2024-11-10 08:54:02.771473,True,15.404,31.968,26.999,6.176,0.0
2024-11-10 08:59:14.899415,True,5.642,30.432,18.902,8.843,0.0
